Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3054823;0;0;0;0;0;0;0;0;-1;-1;0
0,3407203;0;0;0;0;0;0;0;0;-1;-1;0
0,368036;0;0;0;0;0;0;0;0;-1;-1;0
0,3820395;0;0;0;0;0;0;0;0;-1;-1;0
0,3982489;0;0;0;0;0;0;0;0;-1;-1;0
0,4153469;0;0;0;0;0;0;0;0;-1;-1;0
0,4312861;0;0;0;0;0;0;0;0;-1;-1;0
0,4485285;0;0;0;0;0;0;0;0;-1;-1;0
0,4665852;0;0;0;0;0;0;0;0;-1;-1;0
0,4828092;0;0;0;0;0;0;0;0;-1;-1;0
0,4994336;0;0;0;0;0;0;0;0;-1;-1;0
0,5158792;0;0;0;0;0;0;0;0;-1;-1;0
0,5328875;0;0;0;0;0;0;0;0;-1;-1;0
0,5490546;0;0;0;0;0;0;0;0;-1;-1;0
0,5683674;0;0;0;0;0;0;0;0;-1;-1;0
0,5838864;0;0;0;0;0;0;0;0;-1;-1;0
0,5991455;0;0;0;0;0;0;0;0;-1;-1;0
0,6156391;0;0;0;0;0;0;0;0;-1;-1;0
0,6331986;0;0;0;0;0;0;0;0;-1;-1;0
0,6498352;0;0;0;0;0;0;0;0;-1;-1;0
0,6668451;0;0;0;0;0;0;0;0;-1;-1;0
0,6843169;0;0;0;0;0;0;0;0;-1;-1;0
0,7002344;0;0;0;0;0;0;0;0;-1;-1;0
0,7165651;0;0;0;0;0;0;0;0;-1;-1;0
0,7332987;0;0;0;0;0;0;0;0;-1;-1;0
0,7496935;0;0;0;0;0;0;0;0;-1;-1;0
0,7681289;0;0;0;0;0;0;0;0;-1;-1;0
0,7840421;0;0;0;0;0;0;0;0;-1;-1;0
0,8155916;0;0;0;0;0;0;0;0;-1;-1;0
0,8314219;0;0;0;0;0;0;0;0;-1;-1;0
0,8498206;0;0;0;0;0;0;0;0;-1;-1;0
0,8661128;0;0;0;0;0;0;0;0;-1;-1;0
0,8830948;0;0;0;0;0;0;0;0;-1;-1;0
0,8999016;0;0;0;0;0;0;0;0;-1;-1;0
0,916665;0;0;0;0;0;0;0;0;-1;-1;0
0,9346349;0;0;0;0;0;0;0;0;-1;-1;0
0,9500808;0;0;0;0;0;0;0;0;-1;-1;0
0,9682156;0;0;0;0;0;0;0;0;-1;-1;0
0,9832801;0;0;0;0;0;0;0;0;-1;-1;0
1,015587;0;0;0;0;0;0;0;0;-1;-1;0
1,03192;0;0;0;0;0;0;0;0;-1;-1;0
1,049226;0;0;0;0;0;0;0;0;-1;-1;0
1,06503;0;0;0;0;0;0;0;0;-1;-1;0
1,082276;0;0;0;0;0;0;0;0;-1;-1;0
1,100061;0;0;0;0;0;0;0;0;-1;-1;0
1,115892;0;0;0;0;0;0;0;0;-1;-1;0
1,133178;0;0;0;0;0;0;0;0;-1;-1;0
1,14931;0;0;0;0;0;0;0;0;-1;-1;0
1,166206;0;0;0;0;0;0;0;0;-1;-1;0
1,183059;0;0;0;0;0;0;0;0;-1;-1;0
1,199043;0;0;0;0;0;0;0;0;-1;-1;0
1,216271;0;0;0;0;0;0;0;0;-1;-1;0
1,232116;0;0;0;0;0;0;0;0;-1;-1;0
1,249252;0;0;0;0;0;0;0;0;-1;-1;0
1,266031;0;0;0;0;0;0;0;0;-1;-1;0
1,282809;0;0;0;0;0;0;0;0;-1;-1;0
1,298891;0;0;0;0;0;0;0;0;-1;-1;0
1,315507;0;0;0;0;0;0;0;0;-1;-1;0
1,332662;0;0;0;0;0;0;0;0;-1;-1;0
1,348783;0;0;0;0;0;0;0;0;-1;-1;0
1,366423;0;0;0;0;0;0;0;0;-1;-1;0
1,384764;0;0;0;0;0;0;0;0;-1;-1;0
1,399436;0;0;0;0;0;0;0;0;-1;-1;0
1,416569;0;0;0;0;0;0;0;0;-1;-1;0
1,432622;0;0;0;0;0;0;0;0;-1;-1;0
1,449441;0;0;0;0;0;0;0;0;-1;-1;0
1,466029;0;0;0;0;0;0;0;0;-1;-1;0
1,483075;0;0;0;0;0;0;0;0;-1;-1;0
1,502823;0;0;0;0;0;0;0;0;-1;-1;0
1,836156;0;0;0;0;0;0;0;0;-1;-1;0
1,867272;0;0;0;0;0;0;0;0;-1;-1;0
1,883876;0;0;0;0;0;0;0;0;-1;-1;0
1,900349;0;0;0;0;0;0;0;0;-1;-1;0
1,91718;0;0;0;0;0;0;0;0;-1;-1;0
1,933792;0;0;0;0;0;0;0;0;-1;-1;0
1,951159;0;0;0;0;0;0;0;0;-1;-1;0
1,967266;0;0;0;0;0;0;0;0;-1;-1;0
1,984168;0;0;0;0;0;0;0;0;-1;-1;0
2,002699;0;0;0;0;0;0;0;0;-1;-1;0
2,01873;0;0;0;0;0;0;0;0;-1;-1;0
2,035156;0;0;0;0;0;0;0;0;-1;-1;0
2,050619;0;0;0;0;0;0;0;0;-1;-1;0
2,06691;0;0;0;0;0;0;0;0;-1;-1;0
2,083589;0;0;0;0;0;0;0;0;-1;-1;0
2,10041;0;0;0;0;0;0;0;0;-1;-1;0
2,117007;0;0;0;0;0;0;0;0;-1;-1;0
2,135003;0;0;0;0;0;0;0;0;-1;-1;0
2,150372;0;0;0;0;0;0;0;0;-1;-1;0
2,166735;0;0;0;0;0;0;0;0;-1;-1;0
2,183843;0;0;0;0;0;0;0;0;-1;-1;0
2,200046;0;0;0;0;0;0;0;0;-1;-1;0
2,21855;0;0;0;0;0;0;0;0;-1;-1;0
2,23436;0;0;0;0;0;0;0;0;-1;-1;0
2,250115;0;0;0;0;0;0;0;0;-1;-1;0
2,267475;0;0;0;0;0;0;0;0;-1;-1;0
2,284336;0;0;0;0;0;0;0;0;-1;-1;0
2,302537;0;0;0;0;0;0;0;0;-1;-1;0
2,319456;0;0;0;0;0;0;0;0;-1;-1;0
2,352687;0;0;0;0;0;0;0;0;-1;-1;0
2,367821;0;0;0;0;0;0;0;0;-1;-1;0
2,385925;0;0;0;0;0;0;0;0;-1;-1;0
2,402066;0;0;0;0;0;0;0;0;-1;-1;0
2,419075;0;0;0;0;0;0;0;0;-1;-1;0
2,436115;0;0;0;0;0;0;0;0;-1;-1;0
2,451627;0;0;0;0;0;0;0;0;-1;-1;0
2,468698;0;0;0;0;0;0;0;0;-1;-1;0
2,485924;0;0;0;0;0;0;0;0;-1;-1;0
2,51875;0;0;0;0;0;0;0;0;-1;-1;0
2,53526;0;0;0;0;0;0;0;0;-1;-1;0
2,552769;0;0;0;0;0;0;0;0;-1;-1;0
2,568664;0;0;0;0;0;0;0;0;-1;-1;0
2,58636;0;0;0;0;0;0;0;0;-1;-1;0
2,601663;0;0;0;0;0;0;0;0;-1;-1;0
2,619272;0;0;0;0;0;0;0;0;-1;-1;0
2,63654;0;0;0;0;0;0;0;0;-1;-1;0
2,652133;0;0;0;0;0;0;0;0;-1;-1;0
2,668499;0;0;0;0;0;0;0;0;-1;-1;0
2,685035;0;0;0;0;0;0;0;0;-1;-1;0
2,700657;0;0;0;0;0;0;0;0;-1;-1;0
2,719532;0;0;0;0;0;0;0;0;-1;-1;0
2,735009;0;0;0;0;0;0;0;0;-1;-1;0
2,752837;0;0;0;0;0;0;0;0;-1;-1;0
2,784811;0;0;0;0;0;0;0;0;-1;-1;0
2,802234;0;0;0;0;0;0;0;0;-1;-1;0
2,83554;0;0;0;0;0;0;0;0;-1;-1;0
2,851313;0;0;0;0;0;0;0;0;-1;-1;0
2,868501;0;0;0;0;0;0;0;0;-1;-1;0
2,884551;0;0;0;0;0;0;0;0;-1;-1;0
2,900693;0;0;0;0;0;0;0;0;-1;-1;0
2,91827;0;0;0;0;0;0;0;0;-1;-1;0
2,934334;0;0;0;0;0;0;0;0;-1;-1;0
2,950859;0;0;0;0;0;0;0;0;-1;-1;0
2,96737;0;0;0;0;0;0;0;0;-1;-1;0
2,983799;0;0;0;0;0;0;0;0;-1;-1;0
3,000814;0;0;0;0;0;0;0;0;-1;-1;0
3,018052;0;0;0;0;0;0;0;0;-1;-1;0
3,034362;0;0;0;0;0;0;0;0;-1;-1;0
