Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
29,56141;2,499058;1,642404;3,832711;7,138166;274,529;0,8397752;1,782024;0,583592;17,24399
29,88881;2,274737;1,644256;3,833724;9,179109;268,1046;1,289311;0,6851596;0,5847051;17,46832
29,90726;2,261709;1,64347;3,833557;9,634956;267,4129;1,112382;0,7060996;0,58478;17,48135
29,9178;2,25517;1,643062;3,833662;9,610804;267,049;1,132818;0,6205332;0,5847926;17,48789
29,92786;2,25517;1,643062;3,833662;9,610804;267,049;1,132818;0;0,584596;17,48789
29,93989;2,241918;1,642011;3,834139;9,792188;266,429;0,947884;1,102521;0,5848042;17,50115
29,95201;2,235298;1,641292;3,834551;10,10952;266,1083;0,8255689;0,5470945;0,5847889;17,50778
29,96282;2,235298;1,641292;3,834551;10,10952;266,1083;0,8255689;0;0,5845777;17,50778
29,97228;2,222574;1,639466;3,835737;11,24819;265,4136;0,5761569;1,350843;0,5848197;17,52056
29,98579;2,222574;1,639466;3,835737;11,24819;265,4136;0,5761569;0;0,5845562;17,52056
29,99691;2,202245;1,636917;3,838383;10,7871;265,1635;0,4958349;1,843283;0,585023;17,54106
30,00673;2,202245;1,636917;3,838383;10,7871;265,1635;0,4958349;0;0,5848317;17,54106
30,01949;2,189281;1,634765;3,840071;11,78272;264,596;0,1493525;1,024206;0,5850186;17,55413
30,03205;2,183213;1,633465;3,841033;12,62685;264,1812;0,1085352;0,4890257;0,5849784;17,56027
30,04252;2,183213;1,633465;3,841033;12,62685;264,1812;0,1085352;0;0,5847744;17,56027
30,05762;2,163781;1,63006;3,844774;13,36695;263,5981;359,8487;1,310785;0,5851392;17,58006
30,07219;2,157304;1,628946;3,846128;13,55344;263,3841;359,817;0,4542483;0,5850758;17,58668
30,08489;2,157304;1,628946;3,846128;13,55344;263,3841;359,817;0;0,5848287;17,58668
30,09603;2,137892;1,625392;3,850566;14,51144;262,8069;359,5139;1,787935;0,5852741;17,60659
30,10693;2,137892;1,625392;3,850566;14,51144;262,8069;359,5139;0;0,585062;17,60659
30,11675;2,131414;1,624181;3,852244;14,5304;262,6044;359,5575;0,6819121;0,5850936;17,61329
30,12928;2,131414;1,624181;3,852244;14,5304;262,6044;359,5575;0;0,5848501;17,61329
30,1429;2,111757;1,620598;3,857139;15,11233;262,1343;359,4785;1,48686;0,585258;17,63354
30,15728;2,10512;1,619522;3,859548;15,22369;261,8077;359,2856;0,4908833;0,585213;17,6406
30,17142;2,09163;1,617796;3,862879;15,58157;261,6432;359,3521;0,9830653;0,5853994;17,6545
30,18512;2,09163;1,617796;3,862879;15,58157;261,6432;359,3521;0;0,5851336;17,6545
30,19589;2,077828;1,616288;3,866793;15,97602;261,1829;359,213;1,332415;0,5854002;17,66884
30,20891;2,077828;1,616288;3,866793;15,97602;261,1829;359,213;0;0,5851477;17,66884
30,22151;2,056833;1,615209;3,873139;16,13522;260,4084;359,2787;1,739933;0,5856296;17,69078
30,23335;2,04961;1,615146;3,874683;16,11951;260,4337;359,3879;0,6242313;0,5856447;17,69816
30,24369;2,04961;1,615146;3,874683;16,11951;260,4337;359,3879;0;0,5854442;17,69816
30,2536;2,035278;1,615322;3,878566;16,40539;260,2179;359,3644;1,498329;0,5857434;17,71301
30,27446;2,021123;1,615686;3,882848;16,97438;259,8098;359,0803;0,7091012;0,5858284;17,7278
30,28584;2,021123;1,615686;3,882848;16,97438;259,8098;359,0803;0;0,5856082;17,7278
30,29604;2,007343;1,615948;3,885808;16,97473;259,5992;359,3281;1,380739;0,5858763;17,74189
30,30887;2,007343;1,615948;3,885808;16,97473;259,5992;359,3281;0;0,5856282;17,74189
30,31898;1,986857;1,616439;3,890242;17,41487;259,0116;359,1929;2,074173;0,5861245;17,76285
30,33422;1,98033;1,616673;3,891913;17,72499;258,6333;358,9623;0,4422066;0,5860522;17,76959
30,35475;1,96731;1,616791;3,894166;17,74854;258,2112;358,9598;0,6436123;0,5860911;17,7828
30,37405;1,954453;1,616488;3,896328;17,82036;257,8344;358,8524;0,6752779;0,5861478;17,79584
30,39057;1,941654;1,616054;3,898113;18,0624;257,555;358,7497;0,782505;0,5862546;17,80877
30,40272;1,941654;1,616054;3,898113;18,0624;257,555;358,7497;0;0,5860201;17,80877
30,41289;1,928767;1,615389;3,899706;18,44715;257,3122;358,5388;1,276745;0,5862512;17,82175
30,42527;1,928767;1,615389;3,899706;18,44715;257,3122;358,5388;0;0,5860125;17,82175
