Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3635455;0;0;0;0;0;0;0;0;-1;-1;0
0,3780851;0;0;0;0;0;0;0;0;-1;-1;0
0,394644;0;0;0;0;0;0;0;0;-1;-1;0
0,4118776;0;0;0;0;0;0;0;0;-1;-1;0
0,4283262;0;0;0;0;0;0;0;0;-1;-1;0
0,4452893;0;0;0;0;0;0;0;0;-1;-1;0
0,4614807;0;0;0;0;0;0;0;0;-1;-1;0
0,4777284;0;0;0;0;0;0;0;0;-1;-1;0
0,4952783;0;0;0;0;0;0;0;0;-1;-1;0
0,5140936;0;0;0;0;0;0;0;0;-1;-1;0
0,5286882;0;0;0;0;0;0;0;0;-1;-1;0
0,544576;0;0;0;0;0;0;0;0;-1;-1;0
0,5613154;0;0;0;0;0;0;0;0;-1;-1;0
0,5782805;0;0;0;0;0;0;0;0;-1;-1;0
0,5948828;0;0;0;0;0;0;0;0;-1;-1;0
0,6113567;0;0;0;0;0;0;0;0;-1;-1;0
0,6296542;0;0;0;0;0;0;0;0;-1;-1;0
0,6447869;0;0;0;0;0;0;0;0;-1;-1;0
0,6625208;0;0;0;0;0;0;0;0;-1;-1;0
0,6803561;0;0;0;0;0;0;0;0;-1;-1;0
0,6949663;0;0;0;0;0;0;0;0;-1;-1;0
0,7115933;0;0;0;0;0;0;0;0;-1;-1;0
0,7286;0;0;0;0;0;0;0;0;-1;-1;0
0,7446523;0;0;0;0;0;0;0;0;-1;-1;0
0,7623062;0;0;0;0;0;0;0;0;-1;-1;0
0,7787068;0;0;0;0;0;0;0;0;-1;-1;0
0,7950941;0;0;0;0;0;0;0;0;-1;-1;0
0,8113889;0;0;0;0;0;0;0;0;-1;-1;0
0,8293151;0;0;0;0;0;0;0;0;-1;-1;0
0,8473122;0;0;0;0;0;0;0;0;-1;-1;0
0,8620334;0;0;0;0;0;0;0;0;-1;-1;0
0,8780499;0;0;0;0;0;0;0;0;-1;-1;0
0,8954356;0;0;0;0;0;0;0;0;-1;-1;0
0,912612;0;0;0;0;0;0;0;0;-1;-1;0
0,9289471;0;0;0;0;0;0;0;0;-1;-1;0
0,9622495;0;0;0;0;0;0;0;0;-1;-1;0
0,9788332;0;0;0;0;0;0;0;0;-1;-1;0
0,9953095;0;0;0;0;0;0;0;0;-1;-1;0
1,015561;0;0;0;0;0;0;0;0;-1;-1;0
1,028931;0;0;0;0;0;0;0;0;-1;-1;0
1,045215;0;0;0;0;0;0;0;0;-1;-1;0
1,061847;0;0;0;0;0;0;0;0;-1;-1;0
1,079058;0;0;0;0;0;0;0;0;-1;-1;0
1,11162;0;0;0;0;0;0;0;0;-1;-1;0
1,129103;0;0;0;0;0;0;0;0;-1;-1;0
1,163128;0;0;0;0;0;0;0;0;-1;-1;0
1,182213;0;0;0;0;0;0;0;0;-1;-1;0
1,213118;0;0;0;0;0;0;0;0;-1;-1;0
1,229049;0;0;0;0;0;0;0;0;-1;-1;0
1,245308;0;0;0;0;0;0;0;0;-1;-1;0
1,26271;0;0;0;0;0;0;0;0;-1;-1;0
1,279378;0;0;0;0;0;0;0;0;-1;-1;0
1,294992;0;0;0;0;0;0;0;0;-1;-1;0
1,312045;0;0;0;0;0;0;0;0;-1;-1;0
1,32933;0;0;0;0;0;0;0;0;-1;-1;0
1,363924;0;0;0;0;0;0;0;0;-1;-1;0
1,394947;0;0;0;0;0;0;0;0;-1;-1;0
1,41176;0;0;0;0;0;0;0;0;-1;-1;0
1,429259;0;0;0;0;0;0;0;0;-1;-1;0
1,445527;0;0;0;0;0;0;0;0;-1;-1;0
1,462947;0;0;0;0;0;0;0;0;-1;-1;0
1,478535;0;0;0;0;0;0;0;0;-1;-1;0
1,495973;0;0;0;0;0;0;0;0;-1;-1;0
1,515181;0;0;0;0;0;0;0;0;-1;-1;0
1,529717;0;0;0;0;0;0;0;0;-1;-1;0
1,545413;0;0;0;0;0;0;0;0;-1;-1;0
1,562117;0;0;0;0;0;0;0;0;-1;-1;0
1,578833;0;0;0;0;0;0;0;0;-1;-1;0
1,595202;0;0;0;0;0;0;0;0;-1;-1;0
1,612269;0;0;0;0;0;0;0;0;-1;-1;0
1,629387;0;0;0;0;0;0;0;0;-1;-1;0
1,646287;0;0;0;0;0;0;0;0;-1;-1;0
