Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,426452;0;0;0;0;0;0;0;0;-1;-1;0
0,4746827;0;0;0;0;0;0;0;0;-1;-1;0
0,5250502;0;0;0;0;0;0;0;0;-1;-1;0
0,5766709;0;0;0;0;0;0;0;0;-1;-1;0
0,5912545;0;0;0;0;0;0;0;0;-1;-1;0
0,6417149;0;0;0;0;0;0;0;0;-1;-1;0
0,6920216;0;0;0;0;0;0;0;0;-1;-1;0
0,7272428;0;0;0;0;0;0;0;0;-1;-1;0
0,7751082;0;0;0;0;0;0;0;0;-1;-1;0
0,810003;0;0;0;0;0;0;0;0;-1;-1;0
0,8247464;0;0;0;0;0;0;0;0;-1;-1;0
0,8583721;0;0;0;0;0;0;0;0;-1;-1;0
0,8935543;0;0;0;0;0;0;0;0;-1;-1;0
0,9084415;0;0;0;0;0;0;0;0;-1;-1;0
0,9247229;0;0;0;0;0;0;0;0;-1;-1;0
0,9414413;0;0;0;0;0;0;0;0;-1;-1;0
0,9581457;0;0;0;0;0;0;0;0;-1;-1;0
0,9745805;0;0;0;0;0;0;0;0;-1;-1;0
0,9915174;0;0;0;0;0;0;0;0;-1;-1;0
1,008704;0;0;0;0;0;0;0;0;-1;-1;0
1,026383;0;0;0;0;0;0;0;0;-1;-1;0
1,041374;0;0;0;0;0;0;0;0;-1;-1;0
1,05809;0;0;0;0;0;0;0;0;-1;-1;0
1,074833;0;0;0;0;0;0;0;0;-1;-1;0
1,091666;0;0;0;0;0;0;0;0;-1;-1;0
1,108095;0;0;0;0;0;0;0;0;-1;-1;0
1,124844;0;0;0;0;0;0;0;0;-1;-1;0
1,141585;0;0;0;0;0;0;0;0;-1;-1;0
1,158768;0;0;0;0;0;0;0;0;-1;-1;0
1,176371;0;0;0;0;0;0;0;0;-1;-1;0
1,192066;0;0;0;0;0;0;0;0;-1;-1;0
1,208478;0;0;0;0;0;0;0;0;-1;-1;0
1,224872;0;0;0;0;0;0;0;0;-1;-1;0
1,241554;0;0;0;0;0;0;0;0;-1;-1;0
1,258483;0;0;0;0;0;0;0;0;-1;-1;0
1,275026;0;0;0;0;0;0;0;0;-1;-1;0
1,291842;0;0;0;0;0;0;0;0;-1;-1;0
1,308237;0;0;0;0;0;0;0;0;-1;-1;0
1,325503;0;0;0;0;0;0;0;0;-1;-1;0
1,343419;0;0;0;0;0;0;0;0;-1;-1;0
1,358807;0;0;0;0;0;0;0;0;-1;-1;0
1,37484;0;0;0;0;0;0;0;0;-1;-1;0
1,391748;0;0;0;0;0;0;0;0;-1;-1;0
1,408546;0;0;0;0;0;0;0;0;-1;-1;0
1,425189;0;0;0;0;0;0;0;0;-1;-1;0
1,441619;0;0;0;0;0;0;0;0;-1;-1;0
1,458296;0;0;0;0;0;0;0;0;-1;-1;0
1,474972;0;0;0;0;0;0;0;0;-1;-1;0
1,492499;0;0;0;0;0;0;0;0;-1;-1;0
1,509908;0;0;0;0;0;0;0;0;-1;-1;0
1,525082;0;0;0;0;0;0;0;0;-1;-1;0
1,541828;0;0;0;0;0;0;0;0;-1;-1;0
1,558358;0;0;0;0;0;0;0;0;-1;-1;0
1,575049;0;0;0;0;0;0;0;0;-1;-1;0
1,5921;0;0;0;0;0;0;0;0;-1;-1;0
1,608758;0;0;0;0;0;0;0;0;-1;-1;0
1,62505;0;0;0;0;0;0;0;0;-1;-1;0
1,641907;0;0;0;0;0;0;0;0;-1;-1;0
1,658836;0;0;0;0;0;0;0;0;-1;-1;0
1,677048;0;0;0;0;0;0;0;0;-1;-1;0
1,708609;0;0;0;0;0;0;0;0;-1;-1;0
1,725152;0;0;0;0;0;0;0;0;-1;-1;0
1,741782;0;0;0;0;0;0;0;0;-1;-1;0
1,758494;0;0;0;0;0;0;0;0;-1;-1;0
1,775167;0;0;0;0;0;0;0;0;-1;-1;0
1,791902;0;0;0;0;0;0;0;0;-1;-1;0
1,809025;0;0;0;0;0;0;0;0;-1;-1;0
1,827112;0;0;0;0;0;0;0;0;-1;-1;0
1,842122;0;0;0;0;0;0;0;0;-1;-1;0
1,858577;0;0;0;0;0;0;0;0;-1;-1;0
1,875345;0;0;0;0;0;0;0;0;-1;-1;0
1,891963;0;0;0;0;0;0;0;0;-1;-1;0
